name,category,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6
Sidewinder,Tequila,Reposado tequila,Campari,"Vanilla syrup, preferably B.A. Reynold's",Fresh Lime Juice,Mezcal,"Ginger beer, 1 oz"
Orange Blossom Cocktail,Cocktail Classics,Old Mr. Boston Dry Gin,Orange Juice,Powdered Sugar,NA,NA,NA
Shady Lady,Tequila,Blanco tequila,Melon liqueur,Fresh grapefruit juice,Fresh grapefruit juice,Lime wedge; honeydew melon wedge or maraschino cherry,NA
Cherry Blossom,Brandy,"Cherry-flavored brandy, superfine sugar",Brandy,cherry-flavored brandy,Fresh lemon juice,Triple Sec,"Grenadine, maraschino cherry"
The Sfozando,Tequila,Mezcal,Rye Whiskey,Dry Vermouth,Benedictine,Chocolate bitters,Orange twist
Napoleon Cocktail,Cocktail Classics,Old Mr. Boston Dry Gin,Curacao,Dubonnet,NA,NA,NA
Moulin Rouge Cocktail,Cocktail Classics,Old Mr. Boston Sloe Gin,Sweet Vermouth,Bitters,NA,NA,NA
Sea Of Cortez,Tequila,Blanco tequila,Fresh Lime Juice,Creme de Cassis,Orange curacao,NA,NA
Satin Sheets,Tequila,Blanco tequila,Falernum,Simple Syrup,Fresh Lime Juice,Lime wheel,NA
Santana Sling,Tequila,Reposado tequila,Cherry Heering,Batavia arrack or light rum,Fresh Lime Juice,Ginger beer,NA
Rosita,Tequila,Blanco tequila,Sweet Vermouth,Dry Vermouth,Campari,Angostura Bitters,Lemon twist
Mariposa Cocktail,Cocktail Classics,Old Mr. Boston Rum,Old Mr. Boston Five Star Brandy,Lemon Juice,Orange Juice,Grenadine,NA
Margarita Cocktail,Cocktail Classics,Old Mr. Boston Tequila,Old Mr. Boston Triple Sec,Lemon or Lime Juice,NA,NA,NA
The Refuge,Tequila,Blanco tequila,Aperol,Fresh Lime Juice,Grapefruit Juice,Agave nectar,NA
Manhattan Cocktail (dry),Cocktail Classics,Dry Vermouth,Old Thompson Blended Whiskey,NA,NA,NA,NA
Mamie Taylor,Cocktail Classics,Juice of a Lime,Desmond & Duff Scotch Whisky,NA,NA,NA,NA
Quetzalcoatl,Tequila,Blanco tequila,Mezcal,Creme de peche,Guava puree,Grapefruit Juice,Grapefruit twist
Zero Mint,Cocktail Classics,Mr. Boston Creme de menthe,water,NA,NA,NA,NA
Purple Pancho,Tequila,"Lime wedge, superfine sugar",Blanco tequila,Blue curacao,Sloe gin,Fresh Lime Juice,"each Fresh lemon juice, simple syrup, 1 lime wheel"
Midnight Express,Rum - Daiquiris,Dark rum,Triple Sec,Fresh Lime Juice,Fresh lemon juice,Simple Syrup,NA
London Special Cocktail,Cocktail Classics,orange peel,lump sugar,bitters,NA,NA,NA
Mary Pickford Cocktail,Rum - Daiquiris,Light Rum,Pineapple Juice,Maraschino liqueur,Grenadine,NA,NA
Charles Cocktail,Brandy,Brandy,Sweet Vermouth,Angostura Bitters,NA,NA,NA
Martinique Rose,Rum - Daiquiris,Aged rhum agricole,Amaretto,Fresh Lime Juice,Grapefruit Juice,orgeat or almond syrup,NA
Mariposa,Rum - Daiquiris,Light Rum,Brandy,Fresh lemon juice,Orange juice,Grenadine,NA
Mandeville,Rum - Daiquiris,Light Rum,Dark rum,Fresh lemon juice,Anisette,Grenadine,NA
K.C.B. Cocktail,Cocktail Classics,Old Mr. Boston Kummel,Old Mr. Boston Dry Gin,Old Mr. Boston Apricot Flavored Brandy,Lemon Juice,NA,NA
Malmaison,Rum - Daiquiris,Anisette,Light Rum,Cream sherry,Fresh lemon juice,NA,NA
Mai-Tai (Trader Vic Version),Rum - Daiquiris,"Dark rum, preferably Jamaican",Orange curacao,Fresh lime juice (reserve 1/2 lime shell for garnish),Orgeat Syrup,Rock candy syrup or simple syrup,Fresh mint sprig; pineapple wedge skewered with maraschino cherry
Jersey Lightning Cocktail,Cocktail Classics,Apple Brandy,Sweet Vermouth,Juice of a Lime,NA,NA,NA
Lumination,Rum - Daiquiris,Fresh ginger,Simple Syrup,Dark rum,VS cognac,"each Fresh lemon juice, Angostura bitters",Lemon twist
Jamaica Glow Cocktail,Cocktail Classics,Old Mr. Boston Dry Gin,Claret,Orange Juice,Jamaica Rum,NA,NA
Lounge Lizard,Rum - Daiquiris,Dark rum,Amaretto,Cola,NA,NA,NA
Jack-in-the-Box Cocktail,Cocktail Classics,Apple Brandy,Pineapple Juice,Bitters,NA,NA,NA
Irish Whisky Cocktail,Cocktail Classics,Old Mr. Boston Triple Sec,Absinthe Substitute,Maraschino,Bitters,Irish Whiskey,NA
Look Out Below,Rum - Daiquiris,151-Proof Rum,Fresh Lime Juice,Grenadine,NA,NA,NA
Little Princess Cocktail,Rum - Daiquiris,Light Rum,Sweet Vermouth,NA,NA,NA,NA
Little Devil Cocktail,Rum - Daiquiris,Light Rum,Gin,Fresh lemon juice,Triple Sec,NA,NA
Champs Elysees Cocktail,Brandy,Brandy,Yellow Chartreuse,Fresh lemon juice,Simple Syrup,Angostura Bitters,NA
Hop Toad Cocktail,Cocktail Classics,Juice of a Lime,Old Mr. Boston Apricot Flavored Brandy,Old Mr. Boston Rum,NA,NA,NA
Level headed Cocktail,Rum - Daiquiris,Aged rhum agricole,Cold brewed coffee,Allspice liqueur (pimento dram),Simple Syrup,Angostura Bitters,NA
La Vita Dulce,Rum - Daiquiris,Spiced rum,Mezcal,Fresh Lime Juice,Simple Syrup,Ground cinnamon,NA
Hole-in-One Cocktail,Cocktail Classics,Desmond & Duff Scotch Whisky,Dry Vermouth,Lemon Juice,Orange Bitters,NA,NA
Ko Adang,Rum - Daiquiris,Dark rum,Coconut rum,Ginger liqueur,Mango nectar,Cream of coconut,"Fresh Lime Juice, lime wheel"
Knickerbocker Special Cocktail,Rum - Daiquiris,Light Rum,Triple Sec,Fresh lemon juice,Orange juice,Raspberry Syrup,Small pineapple slice
Hair Raiser Cocktail,Cocktail Classics,Old Mr. Boston 100 proof Vodka,Old Mr. Boston Rock and Rye,Lemon Juice,NA,NA,NA
Green Opal Cocktail,Cocktail Classics,Old Mr. Boston Dry Gin,Old Mr. Boston Anisette,Absinthe Substitute,NA,NA,NA
Jamaican Ginger,Rum - Daiquiris,Light Rum,Dark rum,Falernum,Fresh Lime Juice,Angostura Bitters,"Ginger ale, lime wheel"
Green Dragon Cocktail,Cocktail Classics,Juice of a Lemon,Old Mr. Boston Kummel,Old Mr. Boston Green Creme de Menthe,Old Mr. Boston Dry Gin,Orange Bitters,NA
Grasshopper Cocktail,Cocktail Classics,Old Mr. Boston Green Creme de Menthe,Old Mr. Boston White Creme de Cacao,Light Sweet Cream,NA,NA,NA
Jamaican Crawler,Rum - Daiquiris,Light Rum,Melon liqueur,Pineapple Juice,Grenadine,NA,NA
Golden Slipper Cocktail,Cocktail Classics,Yellow Chartreuse,Old Mr. Boston Apricot Flavored Brandy,NA,NA,NA,NA
Jade,Rum - Daiquiris,Light Rum,Fresh Lime Juice,Green creme de menthe,Triple Sec,Simple Syrup Scant,Lime wheel
Jacqueline,Rum - Daiquiris,Dark rum,Triple Sec,Fresh Lime Juice,Simple Syrup,NA,NA
Jack Sparrow Flip,Rum - Daiquiris,Dark rum,Madeira,Simple Syrup,Egg,Angostura Bitters,Freshly grated nutmeg
Irresistible,Rum - Daiquiris,Light Rum,Sweet Vermouth,Benedictine,Fresh lemon juice,Lemon twist,NA
Carroll Cocktail,Brandy,Brandy,Sweet Vermouth,Maraschino cherry,NA,NA,NA
Hush and Wonder,Rum - Daiquiris,Creme de violette,Light Rum,Fresh Lime Juice,Simple Syrup,Grapefruit bitters,NA
Hurricane Leah,Rum - Daiquiris,"each Light Rum, Gin, Vodka, Blanco tequila, Blue curacao",cherry-flavored brandy,Simple Syrup,Fresh lemon juice,Fresh orange juice,Orange wheel
Gimlet Cocktail,Cocktail Classics,Rose's Lime Juice,Powdered Sugar,Old Mr. Boston Dry Gin,NA,NA,NA
Hurricane,Rum - Daiquiris,"each Dark rum, light rum",Passion Fruit Syrup,Lime Juice,Orange juice,"each Simple Syrup, grenadine","Orange half-wheel, maraschino cherry"
Hop Toad,Rum - Daiquiris,Light Rum,Apricot-Flavored Brandy,Fresh Lime Juice,NA,NA,NA
The Holy Roller,Rum - Daiquiris,Cachaca,Fresh Lime Juice,Honey Syrup,NA,Angostura Bitters,"Champagne or sparkling wine, mint sprig"
Hemingway's Nog,Rum - Daiquiris,Dark rum,Vanilla liqueur,Simple Syrup,Creme fraiche,"tiki bitters, such as Bittermen's Elemakule",Freshly grated nutmeg
Flying Scotchman Cocktail,Cocktail Classics,Sweet Vermouth,Desmond & Duff Scotch Whisky,Bitters,Sugar Syrup,NA,NA
Flying Grasshopper Cocktail,Cocktail Classics,Old Mr. Boston Green Creme de Menthe,Old Mr. Boston White Creme de Cacao,Old Mr. Boston Vodka,NA,NA,NA
Havana Cocktail,Rum - Daiquiris,Light Rum,Pineapple Juice,Fresh lemon juice,NA,NA,NA
Harvest Nectar,Rum - Daiquiris,Light Rum,Pineapple Juice,Cranberry Juice,Orange juice,Lemon-lime soda,NA
Fancy Brandy Cocktail,Cocktail Classics,Old Mr. Boston Five Star Brandy,Bitters,Old Mr. Boston Triple Sec,Powdered Sugar,NA,NA
Fallen Angel Cocktail,Cocktail Classics,Juice of a Lime,Old Mr. Boston Dry Gin,Bitters,Old Mr. Boston White Creme de Menthe,NA,NA
The Poncho,Tequila,Reposado tequila,Dry Vermouth,Maraschino liqueur,Peychaud's Bitters,Maraschino cherry,NA
Hai Karate,Rum - Daiquiris,Dark rum,Fresh Lime Juice,Pineapple Juice,Orange juice,Maple Syrup,Angostura Bitters
Cara Sposa,Brandy,Coffee-flavored brandy,Triple Sec,half-and-half,NA,NA,NA
Traditional Martini (Dry),Cocktail Classics,Gin,Dry Vermouth,Orange Bitters,NA,NA,NA
Pina Agave,Tequila,Cucumber,Blanco tequila,Pineapple Juice,Fresh lemon juice,Agave nectar,"Lemon-lime soda, cucumber slice"
Grande Guignol,Rum - Daiquiris,Dark rum,Yellow Chartreuse,Cherry Heering,Fresh Lime Juice,Lime wheel,NA
Pancho Villa,Tequila,Anejo tequila,Aperol,Sweet Vermouth,Peach bitters,Grapefruit twist,NA
Paloma (Natural),Tequila,Blanco tequila,Fresh white or ruby red grapefruit juice,Soda water,NA,NA,NA
Golden Friendship,Rum - Daiquiris,Light Rum,Sweet Vermouth,Amaretto,NA,"Orange zest spiral, maraschino cherry",NA
Paloma,Tequila,Blanco tequila,Grapefruit-flavored soda,Lime wedge,NA,NA,NA
Pacific Sunshine,Tequila,"Lemon wheel, coarse salt",Blanco tequila,Blue curacao,Simple Syrup,Fresh lemon juice,Angostura Bitters
Golden Eclipse,Rum - Daiquiris,Dark rum,Amaro,Fresh lemon juice,Orange Bitters,Sparkling apple cider,Golden Delicious apple wedge
Diplomat Cocktail,Cocktail Classics,Dry Vermouth,Sweet Vermouth,Bitters,Maraschino,NA,NA
Oldest Temptation,Tequila,Anejo tequila,Apple juice,Fresh lemon juice,Triple Sec,Simple Syrup,"Angostura Bitters, flamed lemon twist"
Ginger Grapefruit Rickey,Rum - Daiquiris,Light Rum,Fresh grapefruit juice,Ginger liqueur,Fresh Lime Juice,Soda water,NA
Calvados Cocktail,Brandy,Calvados,Orange juice,Triple Sec,Orange Bitters,NA,NA
Daiquiri Cocktail,Cocktail Classics,Juice of a Lime,Powdered Sugar,Old Mr. Boston Rum,NA,NA,NA
The Oaxaca Old-Fashioned,Tequila,Reposado tequila,Mezcal,Agave nectar,Angostura Bitters,"Orange twist, flamed",NA
Cuban Special Cocktail,Cocktail Classics,Pineapple Juice,Juice of a Lime,Old Mr. Boston Rum,Old Mr. Boston Triple Sec,NA,NA
Gaugin,Rum - Daiquiris,Light Rum,Fresh lemon juice,Fresh Lime Juice,Passion Fruit Syrup,Maraschino cherry,NA
The Nomad South,Tequila,Blanco tequila,Orange juice,Blood orange juice,Agave nectar,Fresh Lime Juice,Whiskey barrel bitters
Creole Lady Cocktail,Cocktail Classics,Old Kentucky Tavern Bourbon Whiskey,Madeira,Grenadine,NA,NA,NA
No. 8,Tequila,Reposado tequila,Palo cortado or oloroso sherry,Honey liqueur,Orange Bitters,Lemon twist,NA
Fog Cutter,Rum - Daiquiris,Light Rum,Brandy,Gin,Fresh lemon juice,each Orange juice and sweet sherry,Almond or orgeat syrup
Mexicola,Tequila,Blanco tequila,Fresh Lime Juice,NA,NA,NA,NA
Floridita No. 3,Rum - Daiquiris,Light Rum,Fresh Lime Juice,Grapefruit Juice,Maraschino liqueur,Simple Syrup,Lime wheel
Mexican Monk,Tequila,Reposado tequila,Dry Sherry,Coffee liqueur,Benedictine,Lemon twist,NA
Floridita No. 1,Rum - Daiquiris,Light Rum,Fresh Lime Juice,Sweet Vermouth,White creme de cacao,Grenadine,Lime twist
Mexican Madras,Tequila,Blanco tequila,Cranberry Juice,Orange juice,Fresh Lime Juice,Orange wheel,NA
Cadiz,Brandy,Blackberry-flavored brandy,Dry Sherry,Triple Sec,half-and-half,NA,NA
Chocolate Soldier Cocktail,Cocktail Classics,Juice of a Lime,Dubonnet,Old Mr. Boston Dry Gin,NA,NA,NA
Fireman's Sour,Rum - Daiquiris,Light Rum,Fresh Lime Juice,Simple Syrup,Grenadine,Soda water (optional),"Lemon half-wheel, maraschino cherry"
Fat Like Buddha,Rum - Daiquiris,Dark rum,Dubonnet Rouge,Benedictine,Triple Sec,"Orange twist, flamed",NA
Cherry Blossom Cocktail,Cocktail Classics,Old Mr. Boston Five Star Brandy,Old Mr. Boston Wild Cherry Flavored Brandy,Old Mr. Boston Triple Sec,Grenadine,Lemon Juice,NA
Fair-and-Warmer Cocktail,Rum - Daiquiris,Light Rum,Sweet Vermouth,Triple Sec,NA,NA,NA
Chelsea Sidecar Cocktail,Cocktail Classics,Juice of a Lemon,Old Mr. Boston Triple Sec,Old Mr. Boston Dry Gin,NA,NA,NA
Mexican Firing Squad,Tequila,Blanco tequila,Simple Syrup,Fresh Lime Juice,pomegranate molasses (available at Middle Eastern grocers),Angostura Bitters,Lime wheel
Mexicana,Tequila,Blanco tequila,Fresh lemon juice,Pineapple Juice,Grenadine,NA,NA
El Presidente Cocktail No. 2,Rum - Daiquiris,Light Rum,Dry Vermouth,Angostura Bitters,NA,NA,NA
Margarita Tequila,Shooters,"Lime wedge, coarse salt",Blanco tequila,Cointreau triple sec,Fresh Lime Juice,NA,NA
Lillypad,Tequila,Blanco tequila,each Lillet Blanc and Lillet Rouge,Apple juice,Fresh Lime Juice,Agave nectar,Blood orange wheel
X. Y. Z. Cocktail,Cocktail Classics,Lemon Juice,Old Mr. Boston Triple Sec,Old Mr. Boston Rum,NA,NA,NA
La Ultima Palabra,Tequila,Blanco tequila,Fresh grapefruit juice,Fresh Lime Juice,Yellow Chartreuse,Maraschino liqueur,Grapefruit twist
La Perla,Tequila,Reposado tequila,Manzanilla sherry,Pear liqueur,NA,NA,NA
Bull's Milk,Brandy,Brandy,Light Rum,Simple Syrup,Milk,"Freshly grated nutmeg, ground cinnamon",NA
La Bomba,Tequila,"Lime wedge, superfine sugar",Gold tequila,Triple Sec,Pineapple Juice,Orange juice,"Grenadine, lime wheel"
Jinx Cocktail,Tequila,Blanco tequila,Blood orange liqueur,Becherovka (Czech digestif),Fresh grapefruit juice,"Grapefruit twist, flamed",NA
The Interesting Cocktail,Tequila,Blanco tequila,Aperol,Dark creme de cacao,Fresh lemon juice,Grapefruit twist,NA
Hot Pants,Tequila,"Lime wedge, coarse salt",Blanco tequila,Peppermint schnapps,Grapefruit Juice,Simple Syrup,NA
High Plains Drifter No. 1,Tequila,Campari,Blanco tequila,Fresh Lime Juice,Honey Syrup,Angostura Bitters,NA
Hairy Sunrise,Tequila,Blanco tequila,Vodka,Triple Sec,Orange juice,Fresh grenadine,Lime wedge
Guadalajara,Tequila,Blanco tequila,Dry Vermouth,Benedictine,NA,NA,NA
Frostbite,Tequila,Blanco tequila,White creme de cacao,Heavy cream,NA,NA,NA
Flower Power,Tequila,Blanco tequila,Grapefruit Juice,Agave nectar,Egg White,Orange blossom water,Peychaud's Bitters
Cablegram Highball,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Old Thompson Blended Whiskey,NA,NA,NA
Cabaret Cocktail,Cocktail Classics,Old Mr. Boston Dry Gin,Bitters,Dry Vermouth,Benedictine,NA,NA
Bulla's Eye,Brandy,Brandy,Hard cider,Ginger ale,NA,NA,NA
El Oso (The Bear),Tequila,Anejo tequila,Honey liqueur,Maraschino liqueur,The Bitter Truth's Jerry Thomas' Own Decanter Bitters,Dehydrated Orange Wheel,NA
El Ni_o,Tequila,Lime wedges,Whole strawberry,Simple Syrup,Blanco tequila,Rose water,NA
El Molino,Tequila,Mezcal,Palo cortado or oloroso sherry,Allspice liqueur (pimento dram),White creme de cacao,NA,NA
Bucks Fizz,Cocktail Classics,orange juice,champagne,NA,NA,NA,NA
Dirty Daisy,Tequila,Reposado tequila,White Curacao,Olive brine,Balsamic vinegar,Fresh Lime Juice,NA
Diablo,Tequila,Blanco tequila,Creme de Cassis,Fresh Lime Juice,NA,Lime wheel,NA
Count Camillo's Paloma,Tequila,Blanco tequila,Sweet Vermouth,Campari,Grapefruit soda,Rosemary sprig,NA
Company B,Tequila,"Whole strawberry, hulled",Blanco tequila,Campari,Triple Sec,Fresh lemon juice,"Agave nectar, strawberry slice"
Chupa Cabra,Tequila,Blanco tequila,Fresh grapefruit juice,Fresh Lime Juice,Campari,Simple Syrup,"Angostura Bitters, lime wheel"
Chinchona,Tequila,Anejo tequila,Lillet Rouge,Orange curacao,Orange Bitters,Orange twist,NA
Chapala,Tequila,Reposado tequila,Orange juice,Fresh lemon juice,Grenadine,Orange blossoms (optional): orange wedge,NA
Bulldog Cocktail,Brandy,cherry-flavored brandy,Gin,Fresh lemon juice,NA,NA,NA
Boston Sidecar Cocktail,Cocktail Classics,Old Mr. Boston Five Star Brandy,Old Mr. Boston Rum,Old Mr. Boston Triple Sec,Juice of a Lime,NA,NA
Catalina Margarita,Tequila,Blanco tequila,Peach schnapps,Blue curacao,Simple Syrup,Fresh lemon juice,NA
Camino Del Ray,Tequila,Anejo tequila,Oloroso sherry,Drambuie,Rhubarb bitters,Lemon twist,NA
Cactus Berry,Tequila,Lime wedge coarse salt,Blanco tequila,Red wine,"each Triple Sec, simple syrup","each Fresh lemon juice, fresh lime juice",Lemon-lime soda
Bolero Cocktail,Cocktail Classics,Old Mr. Boston Rum,Apple Brandy,Sweet Vermouth,NA,NA,NA
Bum's Rush,Tequila,Blanco tequila,Triple Sec,Honey liqueur,Fresh Lime Juice,Fresh apple cider,Lime wedge
Brave Bull,Tequila,Blanco tequila,Coffee liqueur,Lemon twist,NA,NA,NA
Blue Margarita,Tequila,"Lime juice, coarse salt",Blanco tequila,Blue curacao,Fresh Lime Juice,NA,NA
Bloody Maria,Tequila,Blanco tequila,Tomato Juice,Fresh lemon juice,Hot red pepper sauce,Celery Salt,Lemon wheel
Pineapple Dream Cocktail,Cocktail Classics,Pineapple Juice,Juice of a Lime,Old Mr. Boston Imported Rum,NA,NA,NA
Big Red Hooter,Tequila,Blanco tequila,Amaretto,Pineapple Juice,Grenadine,Maraschino cherry,NA
Blood Bronx Cocktail,Cocktail Classics,Old Mr. Boston Dry Gin,Dry Vermouth,Juice of a Blood Orange,NA,NA,NA
Bravo,Tequila,Anejo tequila,Agave nectar,Angostura Bitters,Orange Bitters,Grapefruit twist,NA
Amante Picante,Tequila,Cucumber,Fresh cilantro sprigs,Blanco tequila,Fresh Lime Juice,Simple Syrup,"Jalapeno hot pepper sauce, cucumber slice"
Brunswick Street Cocktail,Brandy,Cognac,"Sweet sherry, preferably Pedro Ximenez",Egg Yolk,NA,NA,NA
Black Hawk Cocktail,Cocktail Classics,Old Thompson Blended Whiskey,Old Mr. Boston Sloe Gin,NA,NA,NA,NA
Alamo Splash,Tequila,Blanco tequila,Orange juice,Pineapple Juice,Lemon-lime soda,NA,NA
Betsy Ross Cocktail,Cocktail Classics,Old Mr. Boston Five Star Brandy,Port,Old Mr. Boston Triple Sec,NA,NA,Old Mr. Boston Dry Gin
Bermuda Rose Cocktail,Cocktail Classics,Old Mr. Boston Dry Gin,Old Mr. Boston Apricot Flavored Brandy,Grenadine,NA,NA,NA
Yokahama Romance,Gin,Sake,Gin,Maraschino liqueur,Unsprayed rose petal,NA,NA
Yale Cocktail,Gin,Gin,Dry Vermouth,Blue curacao,Angostura Bitters,NA,NA
Xanthia Cocktail,Gin,Gin,cherry-flavored brandy,Yellow Chartreuse,NA,NA,NA
Woodstock,Gin,Gin,Fresh lemon juice,Maple Syrup,Orange Bitters,NA,NA
Wolf's Bite,Gin,Gin,Grapefruit Juice,Green Chartreuse,NA,NA,NA
Barbary Coast Cocktail,Cocktail Classics,Old Mr. Boston Dry Gin,Old Mr. Boston Rum,Old Mr. Boston Creme de Cacao,Desmond & Duff Scotch Whisky,Sweet Cream,NA
The Winkle,Gin,Fresh sage leaves,Gin,Fresh Lime Juice,Limoncello,Simple Syrup,"Raspberries, lemon twist"
The Wink,Gin,Absinthe,Gin,Triple Sec,Simple Syrup,Peychaud's Bitters,NA
Will Rogers,Gin,Gin,Dry Vermouth,Orange juice,Triple Sec,NA,NA
Brandy Vermouth Cocktail,Brandy,Brandy,Sweet Vermouth,Angostura Bitters,NA,NA,NA
White Spider,Gin,Gin,Fresh lemon juice,Triple Sec,Simple Syrup,NA,NA
White Lady,Gin,Gin,Triple Sec,NA,NA,NA,NA
Western Rose,Gin,Gin,Dry Vermouth,Apricot-Flavored Brandy,Fresh lemon juice,NA,NA
May Blosson Fizz,Cocktail Classics,Grenadine,Juice of a Lemon,Swedish Punch,NA,NA,NA
Wembly Cocktail,Gin,Gin,Dry Vermouth,Apple Brandy,Apricot-Flavored Brandy,NA,NA
Apple Pie Cocktail,Cocktail Classics,Old Mr. Boston Rum,Sweet Vermouth,Apple Flavored Brandy,Grenadine,Lemon Juice,NA
Water Lily,Gin,Gin,Triple Sec,Creme de violette,Fresh lemon juice,Orange twist,NA
Wallis Blue Cocktail,Gin,"Lime wedge, superfine sugar",Gin,Triple Sec,Fresh Lime Juice,NA,NA
Minnehaha Cocktail,Cocktail Classics,Juice of Orange,Dry Vermouth,Sweet Vermouth,Old Mr. Boston Dry Gin,NA,NA
Wallick Cocktail,Gin,Gin,Dry Vermouth,Triple Sec,NA,NA,NA
Waikiki Beachcomber,Gin,Gin,Triple Sec,Pineapple Juice,NA,NA,NA
Vow Of Silence,Gin,Gin,Grapefruit Juice,Fresh Lime Juice,Yellow Chartreuse,Amaro,Simple Syrup
